station_id,station_name,location,twd67_lat,twd67_lon,wgs84_lat,wgs84_lon,distance_km,temperature
C2SD80,再來山,臺東縣長濱鄉,23.345518,121.433115,23.34371,121.44122,0.8515304686810765,17.8
CAC020,國二E009K,桃園市桃園區,25.020014,121.265475,25.018244,121.273697,0.8515156302545097,15.0
C2TA70,赤科坪,花蓮縣玉里鎮,23.400655,121.383571,23.39885,121.39168,0.8515141048199427,12.1
CAC030,國三N063K,桃園市大溪區,24.891285,121.255387,24.889514,121.2636,0.8515012781523278,14.1
467620,蘭嶼,臺東縣蘭嶼鄉,22.038737,121.55041,22.0369,121.55843,0.8514901262124571,18.7
CAC060,西濱S032K,桃園市大園區,25.09373,121.184277,25.091966,121.192505,0.851464853857864,-99.0
A0F010,武陵,臺中市和平區,24.354609,121.300112,24.352825,121.308286,0.8514606149950364,10.7
A0Z080,合歡山,花蓮縣秀林鄉,24.144972,121.276071,24.143186,121.284231,0.8514592358310136,-99.0
C2TB50,麻汝,花蓮縣玉里鎮,23.427345,121.38547,23.42554,121.39358,0.8514510606935688,15.3
C2C410,中央大學,桃園市中壢區,24.969417,121.176946,24.967652,121.185165,0.8514249542255388,15.0
C2TA90,加納納,花蓮縣瑞穗鄉,23.468223,121.351754,23.466421,121.359867,0.8514210653622661,15.7
C2TB70,達谷寮,花蓮縣玉里鎮,23.381804,121.351573,23.38,121.35968,0.8514039746704439,16.0
CAC760,國一高架N063K,桃園市平鎮區,24.952048,121.188097,24.950281,121.196314,0.8513938135044022,15.0
CAD710,國三N077K,新竹縣關西鎮,24.799064,121.181827,24.797294,121.190033,0.8513889767069487,14.6
467610,成功,臺東縣成功鎮,23.099296,121.36534,23.097486,121.373428,0.8513772872547126,19.2
C2C590,觀音,桃園市觀音區,25.028835,121.145094,25.027072,121.153317,0.8513761459761969,15.4
C2TA60,六十石,花蓮縣富里鄉,23.226575,121.310513,23.22477,121.31861,0.8513760773878686,11.7
C2D720,關西工作站,新竹縣關西鎮,24.759045,121.176589,24.757275,121.184792,0.8513541303459543,15.1
C2SD50,順那,臺東縣東河鄉,23.043467,121.285235,23.04166,121.29332,0.8513338809035487,17.5
CAC770,國三N072K,桃園市龍潭區,24.838161,121.191163,24.836391,121.199371,0.8513310661806611,13.5
C2H9K0,屯原,南投縣仁愛鄉,24.069754,121.201235,24.067969,121.209389,0.8513140352721943,10.7
CAC010,國一S072K,桃園市楊梅區,24.897595,121.125987,24.89583,121.1342,0.8513060146597647,14.1
C2H9Q0,北東眼山,南投縣仁愛鄉,24.122721,121.181145,24.120939,121.189303,0.8512983094354977,10.4
CAD080,國三N085K,新竹縣關西鎮,24.785096,121.112895,24.78333,121.1211,0.8512787833957225,15.0
C2H9M0,發祥,南投縣仁愛鄉,24.155875,121.156357,24.154094,121.164517,0.8512610147002352,15.2
CAD020,國一N077K,新竹縣湖口鄉,24.886763,121.080688,24.885,121.0889,0.851227323037546,15.0
C2TB60,南安,花蓮縣卓溪鄉,23.299981,121.253469,23.29818,121.26157,0.8512255843840374,16.8
467050,新屋,桃園市新屋區,25.008484,121.039271,25.006725,121.047492,0.8512113507838828,15.5
C2H9L0,馬烈霸,南投縣仁愛鄉,24.152982,121.193613,24.1512,121.201772,0.851206450576779,10.6
C2H9N0,仁愛東眼,南投縣仁愛鄉,24.028656,121.112349,24.026875,121.1205,0.8511718678724423,14.2
CAD030,國一S082K,新竹縣湖口鄉,24.878431,121.038489,24.87667,121.0467,0.8511323283692649,14.3
CAD040,國一S088K,新竹縣竹北市,24.8462,121.013191,24.84444,121.0214,0.851120498874426,15.6
C2FA00,烏石坑,臺中市和平區,24.275269,120.939447,24.273503,120.947617,0.8511061926807141,15.6
CAD050,國一N094K,新竹市東區,24.799541,121.000695,24.79778,121.0089,0.8510568264326112,16.3
C2H9P0,伊拿谷,南投縣仁愛鄉,23.964991,121.080118,23.963211,121.088264,0.8510502114260694,17.0
C2SD70,二層坪,臺東縣鹿野鄉,22.942853,121.160303,22.94105,121.16838,0.8510321592703435,17.0
C2S9B0,利吉,臺東縣卑南鄉,22.864264,121.146788,22.86246,121.15486,0.851026409634953,17.3
C2E430,南庄,苗栗縣南庄鄉,24.603539,120.992023,24.601775,121.000214,0.8510254576037863,14.8
CAD100,西濱N066K,新竹縣新豐鄉,24.897357,120.956688,24.8956,120.9649,0.8510047371552093,16.1
C2G870,芳苑,彰化縣芳苑鄉,23.924,120.311861,23.922303,120.320025,0.8509913311606272,17.4
C2D730,寶山農場,新竹縣寶山鄉,24.734205,120.967953,24.732444,120.976153,0.850989539684319,16.0
CAF950,國一N158K,臺中市后里區,24.334121,120.708967,24.332372,120.717144,0.8509885407645164,15.0
C2SD60,明峰,臺東縣卑南鄉,22.868903,121.110178,22.8671,121.11825,0.8509727602320225,16.2
467660,臺東,臺東縣臺東市,22.754017,121.146522,22.752211,121.154586,0.8509322844323527,19.3
E2HA20,畢祿溪站,南投縣仁愛鄉,24.22873,121.300362,24.226944,121.308522,0.8509308027851545,9.0
B2Q810,恆春畜試,屏東縣恆春鎮,21.947348,120.794139,21.945583,120.802167,0.8509259969851841,20.7
82S580,臺東茶改,臺東縣鹿野鄉,22.909476,121.12206,22.907694,121.130139,0.8508824353198727,17.1
72V140,旗南農改,高雄市旗山區,22.859612,120.508583,22.857861,120.516667,0.8508808740042878,18.9
C2H9R0,卓社,南投縣仁愛鄉,23.889672,120.991946,23.887894,121.000086,0.8508748890413652,14.5
72HA00,埔里分場,南投縣魚池鄉,23.904982,120.955222,23.903208,120.963364,0.8508741107880968,17.9
82H320,魚池茶改,南投縣魚池鄉,23.877382,120.905442,23.875611,120.913583,0.8508697353017457,16.3
72S200,班鳩分場,臺東縣卑南鄉,22.831307,121.069619,22.829528,121.077694,0.8508693667535349,17.5
C2E520,大湖,苗栗縣大湖鄉,24.4167,120.862694,24.414939,120.870872,0.8508667267127439,13.9
72S590,賓朗果園,臺東縣卑南鄉,22.815668,121.063204,22.813889,121.071278,0.8508621377577611,17.2
72Q010,高雄農改,屏東縣長治鄉,22.711084,120.517814,22.709333,120.525889,0.8508606736519306,20.7
CAD110,西濱S082K,新竹市香山區,24.753481,120.896827,24.751724,120.905028,0.8508606112047653,16.4
A0G720,彰師大,彰化縣彰化市,24.08314,120.548508,24.081389,120.556667,0.8508504144499255,17.5
82H840,凍頂茶改,南投縣鹿谷鄉,23.76429,120.732364,23.762528,120.7405,0.8508457090398653,15.4
CAJ010,國三N252K,雲林縣林內鄉,23.775877,120.632472,23.77412,120.64061,0.8508441487164689,16.5
C2E420,竹南,苗栗縣竹南鎮,24.710737,120.880772,24.70898,120.88897,0.8508426773507418,16.3
C2H9J0,中台,南投縣埔里鎮,24.001373,120.930591,23.9996,120.938739,0.8508397206275097,18.1
72N100,臺南農改,臺南市新化區,23.062242,120.334096,23.0605,120.342194,0.8508395849870479,18.1
C2H9W0,大坪頂農水,南投縣埔里鎮,24.044894,120.92463,24.043122,120.932781,0.8508377756704406,17.5
CAH010,國三N223K,南投縣草屯鎮,23.956874,120.654227,23.955116,120.662376,0.8508319500773036,-99.0
C2S9A0,北份子寮,臺東縣卑南鄉,22.787412,121.070064,22.78561,121.07813,0.8508300977530536,18.8
CAF050,國三N208K,臺中市霧峰區,24.067905,120.652763,24.066147,120.660919,0.8508282236897471,17.1
G2P820,鳳山農試,高雄市鳳山區,22.648354,120.34801,22.646611,120.356083,0.8508267554574543,19.3
72U480,蘭陽分場,宜蘭縣三星鄉,24.688121,121.708402,24.686306,121.716583,0.8508243137457226,15.9
K2E710,大湖分場,苗栗縣大湖鄉,24.42463,120.863657,24.422861,120.871833,0.8508242837483044,14.0
CAE060,國三N119K,苗栗縣竹南鎮,24.677199,120.839196,24.675432,120.847389,0.85082405761407,16.5
B2N890,畜試所,臺南市新化區,23.060713,120.328308,23.058972,120.336406,0.8508234399562201,17.8
C2F990,摩天嶺,臺中市和平區,24.324225,120.928649,24.322458,120.936819,0.85082107295483,16.0
CAD010,國一S105K,新竹縣寶山鄉,24.728088,120.932448,24.726316,120.940643,0.8508201968350987,16.3
CAF010,國一N174K,臺中市西屯區,24.206657,120.647035,24.2049,120.6552,0.8508169909067892,15.6
72M360,義竹分場,嘉義縣義竹鄉,23.362432,120.271244,23.360694,120.279361,0.8508164454285394,17.3
CAG050,國三N196K,彰化縣彰化市,24.108907,120.546322,24.107155,120.554482,0.8508125259135296,16.6
82A750,文山茶改,新北市石碇區,24.957588,121.623022,24.955778,121.631222,0.8508085942619111,12.3
C0FA30,梧棲,臺中市梧棲區,24.257753,120.515211,24.256003,120.523381,0.8508085300708267,16.6
G2L020,嘉義農試,嘉義市東區,23.486776,120.465684,23.485028,120.473806,0.8508080930106269,17.0
CAE020,國一S114K,苗栗縣頭份市,24.670593,120.877616,24.668836,120.885811,0.8508072951524112,16.6
C2E980,和興,苗栗縣獅潭鄉,24.507081,120.914833,24.505319,120.923016,0.8508066141945214,11.8
U2HA50,臺大竹山,南投縣竹山鎮,23.758731,120.67342,23.756972,120.681556,0.8508033653007413,-99.0
CAF090,國四E5K,臺中市神岡區,24.298221,120.634964,24.296465,120.643135,0.850803255309698,15.9
A0K420,麥寮,雲林縣麥寮鄉,23.800517,120.209572,23.798783,120.217717,0.8508012328005229,17.7
CAF060,國三S168K,臺中市清水區,24.310274,120.606299,24.308519,120.614471,0.8507998076830154,16.0
CAE090,國三S156K,苗栗縣苑裡鎮,24.399738,120.66131,24.39798,120.669487,0.850799720313847,16.3
U2H480,臺大溪頭,南投縣鹿谷鄉,23.672071,120.790065,23.670306,120.798194,0.8507988306276593,14.0
72M700,嘉義分場,嘉義縣鹿草鄉,23.418608,120.274941,23.416869,120.283061,0.8507977018982487,17.4
CAG030,國一S207K,彰化縣大村鄉,23.990053,120.499939,23.988304,120.508092,0.8507906043469171,17.0
K2F750,種苗繁殖,臺中市新社區,24.227737,120.792753,24.225972,120.800917,0.8507897344087935,13.8
CAF020,國一S162K,臺中市后里區,24.297293,120.687806,24.295534,120.695976,0.850787144900609,15.1
CAJ020,國一N234K,雲林縣西螺鎮,23.748078,120.459788,23.74633,120.467926,0.8507871093867223,16.7
B2E890,新竹畜試,苗栗縣西湖鄉,24.529569,120.762788,24.527806,120.770972,0.8507864579761449,16.0
CAE040,國一S132K,苗栗縣公館鄉,24.526272,120.812648,24.524506,120.820831,0.8507861134254775,15.9
72D080,五峰站,新竹縣五峰鄉,24.613978,121.148983,24.612194,121.157167,0.850785492014097,10.6
82C160,茶改場,桃園市楊梅區,24.910258,121.17713,24.908472,121.185333,0.8507841123477516,14.4
72K220,雲林分場,雲林縣斗南鎮,23.636304,120.469202,23.634556,120.477333,0.8507834543820099,17.5
CAL010,國一N250K,嘉義縣大林鎮,23.612038,120.428737,23.610292,120.436867,0.8507828653562551,17.3
CAH020,國三S217K,南投縣草屯鎮,24.008587,120.645062,24.00683,120.653214,0.8507794655151512,16.8
K2E360,苗栗農改,苗栗縣公館鄉,24.497488,120.82093,24.495722,120.829111,0.8507737280936941,15.5
CAE030,國一S123K,苗栗縣頭屋鄉,24.597708,120.852523,24.59594,120.86071,0.85077215748377,15.6
CAE080,國三S140K,苗栗縣通霄鎮,24.524106,120.716822,24.522345,120.725006,0.850770287227305,16.1
A0A460,文化大學,臺北市士林區,25.137855,121.531657,25.13605,121.53987,0.8507686997450215,12.6
C2FB50,出雲,臺中市和平區,24.208236,120.894632,24.206469,120.902794,0.8507670309749668,15.5
CAF040,國一S188K,臺中市大肚區,24.120299,120.577587,24.118546,120.585747,0.8507662521269239,16.7
72C440,桃園農改,桃園市新屋區,24.952721,121.022375,24.950944,121.030583,0.8507641795138529,15.7
72T250,花蓮農改,花蓮縣吉安鄉,23.977028,121.555752,23.975222,121.563889,0.8507635819679393,16.6
CAF030,國一S169K,臺中市神岡區,24.238875,120.680105,24.237116,120.688271,0.8507629243897459,15.6
CAG060,國三S202K,彰化縣彰化市,24.094222,120.595098,24.092468,120.603256,0.8507583048869725,17.0
CAG040,國三N191K,彰化縣和美鎮,24.141006,120.513338,24.139256,120.5215,0.8507569341443304,16.7
E2H360,蓮華池,南投縣魚池鄉,23.920106,120.877136,23.918333,120.885278,0.8507541075933657,17.7
C2E990,新坪頂,苗栗縣卓蘭鎮,24.303773,120.849231,24.30201,120.8574,0.8507497632627726,12.3
CAE050,國一S152K,苗栗縣三義鄉,24.377254,120.74101,24.375492,120.749184,0.8507497228309818,14.5
72G600,臺中農改,彰化縣大村鄉,24.004779,120.526236,24.003028,120.534389,0.8507492296525236,17.4
A2C560,農工中心,桃園市中壢區,24.987706,121.231626,24.985917,121.239833,0.8507483875849701,15.1
CAG010,國一N198K,彰化縣彰化市,24.065639,120.514899,24.063889,120.523056,0.8507373367116181,16.7
C2H9G0,百勝,南投縣國姓鄉,24.052912,120.90121,24.051142,120.909361,0.8507360122816569,17.1
CAE070,國三N151K,苗栗縣苑裡鎮,24.441976,120.673477,24.440218,120.681656,0.8507270678047922,16.3
467550,玉山,南投縣信義鄉,23.488964,120.951318,23.48718,120.95943,0.850726511546567,-0.1
467650,日月潭,南投縣魚池鄉,23.883099,120.899911,23.881325,120.90805,0.8507136352122825,16.3
E2K600,四湖植物園,雲林縣四湖鄉,23.678718,120.155296,23.676986,120.163433,0.8507122691104941,17.9
U2HA30,臺大和社,南投縣信義鄉,23.592633,120.880744,23.590856,120.888864,0.8507042405237831,17.2
C2H9D0,三隻寮,南投縣國姓鄉,24.094845,120.853424,24.093078,120.861578,0.8506919228576729,17.6
467280,後龍,苗栗縣造橋鄉,24.650318,120.823641,24.648563,120.831834,0.850690464079099,16.3
CAV270,國一S336K,高雄市路竹區,22.89593,120.263097,22.894167,120.271178,0.8506726448841795,18.3
A0W080,吉貝,澎湖縣白沙鄉,23.741712,119.596041,23.740011,119.604189,0.8506400504938464,-99.0
C2H9X0,福盛,南投縣中寮鄉,23.8953,120.83263,23.89353,120.84077,0.8506335796938903,-99.0
C2FB60,頭櫃山,臺中市新社區,24.131608,120.850769,24.129842,120.858925,0.8506324732926693,15.8
C2H9S0,龍南,南投縣國姓鄉,23.955305,120.825039,23.953536,120.833183,0.8506293148720986,16.4
C2E970,八甲,苗栗縣苗栗市,24.537566,120.787798,24.535811,120.795983,0.8506290260783688,15.2
E2S980,太麻里(1),臺東縣太麻里鄉,22.600724,120.971991,22.598922,120.980044,0.8506288331421636,18.6
C2H9E0,國姓南港,南投縣國姓鄉,23.912878,120.838415,23.911108,120.846556,0.8506230085996132,15.4
CAW010,東引,連江縣東引鄉,26.360539,120.475308,26.358836,120.483631,0.8505951777622031,12.2
C2H9F0,柑林,南投縣國姓鄉,24.020426,120.838924,24.018658,120.847072,0.8505917789285156,17.1
CAF980,國三N183K,臺中市龍井區,24.19538,120.562148,24.193628,120.570311,0.8505633224059097,15.8
C2E880,三義,苗栗縣三義鄉,24.407236,120.741644,24.405478,120.749819,0.8505547794896773,12.1
U2HA40,臺大內茅埔,南投縣信義鄉,23.691497,120.842992,23.689722,120.851117,0.8505401311793883,17.6
CAE100,西濱N107K,苗栗縣後龍鎮,24.597551,120.731211,24.5958,120.7394,0.850535136601344,16.4
467530,阿里山,嘉義縣阿里山鄉,23.509984,120.805129,23.508208,120.813242,0.8504903385071785,7.4
C2H9U0,鳳鵬,南投縣鹿谷鄉,23.76569,120.779931,23.763919,120.788061,0.8504740568396649,16.8
467540,大武,臺東縣大武鄉,22.357523,120.895703,22.35572,120.90374,0.8504682629543897,21.1
CAE110,西濱S129K,苗栗縣苑裡鎮,24.44895,120.634622,24.4472,120.6428,0.8503799462775214,16.6
C2K240,草嶺,雲林縣古坑鄉,23.597319,120.685342,23.59555,120.693461,0.8503701480383191,16.0
C2K610,草嶺石壁,雲林縣古坑鄉,23.604239,120.699612,23.602469,120.707731,0.8503534119722229,15.8
C2R9A0,高士國小,屏東縣牡丹鄉,22.127335,120.838508,22.12553,120.84653,0.8503398839324353,19.6
C2H9H0,苗改南投蜂場,南投縣名間鄉,23.854353,120.685345,23.852589,120.693481,0.8503383641941419,16.9
E2S960,太麻里(2),臺東縣太麻里鄉,22.599802,120.9897,22.598,120.99775,0.850334912648052,19.5
C2M970,碧湖,嘉義縣梅山鄉,23.570397,120.616047,23.568632,120.624165,0.8503333254556535,16.8
467490,臺中,臺中市北區,24.147494,120.675919,24.145736,120.684075,0.8503274555496521,17.7
C2M950,太和,嘉義縣梅山鄉,23.540143,120.694847,23.538372,120.702961,0.8502761906453239,15.3
C2M810,里佳,嘉義縣阿里山鄉,23.390899,120.708543,23.389125,120.716647,0.8502710467923029,14.7
C2M940,日野賀,嘉義縣阿里山鄉,23.435829,120.719062,23.434056,120.727169,0.85026985102265,15.8
C2M930,石卓,嘉義縣竹崎鄉,23.480516,120.694154,23.478744,120.702264,0.8502694557044488,13.8
C2M530,奮起湖,嘉義縣竹崎鄉,23.495674,120.691142,23.493903,120.699253,0.8502503980096324,15.1
C2M960,外寮,嘉義縣梅山鄉,23.564411,120.657572,23.562643,120.665688,0.8502487491655634,16.3
C2H9Y0,松茗,南投縣名間鄉,23.818463,120.642632,23.8167,120.650765,0.850238602512783,14.8
G2F820,農業試驗所,臺中市霧峰區,24.033022,120.679986,24.031261,120.688133,0.8502344518794882,17.7
C2M9A0,大華,嘉義縣竹崎鄉,23.484171,120.6668,23.4824,120.67491,0.8502213933447451,17.1
C2H9T0,名間竹圍,南投縣名間鄉,23.861675,120.629436,23.859914,120.637572,0.8502159655483739,15.5
E2P990,扇平林試,高雄市茂林區,22.969481,120.677627,22.9677,120.685703,0.8502012470089599,-99.0
CAF960,國三S175K,臺中市沙鹿區,24.253246,120.58152,24.251494,120.589683,0.8501971996920117,15.6
12Q980,恆春工作站,屏東縣車城鄉,22.081478,120.706406,22.079678,120.714425,0.8501694685415622,21.4
CAF100,西濱N151K,臺中市清水區,24.277713,120.539516,24.275964,120.547681,0.8501630988221627,16.7
467270,田中,彰化縣田中鎮,23.875561,120.573149,23.873803,120.581286,0.8501518061979552,17.2
C2M990,大巃頂,嘉義縣梅山鄉,23.556466,120.606275,23.5547,120.61439,0.8501468433773983,16.7
C2R990,泰武,屏東縣泰武鄉,22.608649,120.689598,22.60686,120.69765,0.8501433622534915,15.9
C2G9A0,畜試所彰化,彰化縣北斗鎮,23.862208,120.549828,23.86045,120.557964,0.8501358767051166,17.3
CAP060,國三S385K,高雄市大樹區,22.769552,120.436379,22.767777,120.444444,0.8501335364590258,18.7
E2P980,六龜林試,高雄市六龜區,22.993482,120.637645,22.991703,120.645722,0.8501061844519011,19.9
467590,恆春,屏東縣恆春鎮,22.0057,120.738326,22.003897,120.746339,0.8500770576443551,21.6
C2M9C0,紫雲,嘉義縣竹崎鄉,23.496678,120.532142,23.494914,120.540253,0.8500643064734347,17.0
