轉換方法,平均距離(km),中位數距離(km),最小距離(km),最大距離(km),標準差(km)
原始,0.850123,0.850758,0.670030,0.962813,0.012957
TWD97轉換,0.850123,0.850758,0.670030,0.962813,0.012957
TWD67精確轉換,2665.277989,2665.368529,1254.439864,2936.764524,119.897789
