統計項目,數值
總測站數,336
緯度差異平均(度),-0.00175610
緯度差異標準差(度),0.00024760
經度差異平均(度),0.00813489
經度差異標準差(度),0.00015768
平均距離(km),0.850123
距離標準差(km),0.012957
最小距離(km),0.670030
最大距離(km),0.962813
